Level1,Level2,MDRAE,RMSE,SMAPE,Theil's U
backward,ax,1.0486871287095552,2.2084191228538326,17.75936140785834,0.16767248959107825
backward,lasso,1.7079703813927751,1.133761178236574,14.730818991793512,0.09046791880370635
backward,rf,1.66407524708496,0.8597225149882665,12.883820715654295,0.07110559621972268
backward,ridge,1.8706689983418845,1.5768727627208443,17.107168544497288,0.12210855539823885
backward,xgb,0.9284539755445524,0.7936387991364029,11.346205058645467,0.06486367095764498
forward,ax,5.657752645809143,3.0465900098629164,33.978434321078964,0.2287307182044758
forward,lasso,3.127790633643503,1.6389942617092161,24.009464451154383,0.13463336480139107
forward,rf,1.1026588852045205,1.0327613224321386,14.866994509102376,0.08624910951990374
forward,ridge,4.1330149245241925,2.0999106908994305,27.450974744302204,0.16615594050878046
forward,xgb,2.7195162840773235,1.3486189642043969,19.96299222476488,0.1119582825675009
hybrid,ax,3.562258822418184,2.4441445689111667,26.16665639191229,0.18672680617382442
hybrid,lasso,1.1101147741856945,1.2830674779549265,17.767542481512898,0.10559873315983495
hybrid,rf,1.09337300178632,0.9086459868305115,12.382148893772017,0.07542610429600811
hybrid,ridge,2.8093942547115027,1.6433931080439703,20.155818416935517,0.12956689740158459
hybrid,xgb,1.107790219433151,0.9282068929030739,12.642443571420433,0.07695465922852508
level_0,ax,Value,Value,Value,Value
level_0,lasso,Value,Value,Value,Value
level_0,rf,Value,Value,Value,Value
level_0,ridge,Value,Value,Value,Value
level_0,xgb,Value,Value,Value,Value
