period,actual_inflation,predicted_inflation,forecast_horizon,error,absolute_error,squared_error
64,2.202072539,4.6774547456362345,1,-2.4753822066362345,2.4753822066362345,6.127517068931274
65,2.976341898,3.423325541820614,1,-0.44698364382061406,0.44698364382061406,0.19979437784315357
66,4.554707379,5.370391058987404,1,-0.8156836799874041,0.8156836799874041,0.6653398657977938
67,4.594180704,6.113328968344819,1,-1.5191482643448184,1.5191482643448184,2.3078114490618744
68,4.790874525,7.52608187140463,1,-2.7352073464046294,2.7352073464046294,7.4813592278258545
69,3.853754941,7.298810531169003,1,-3.4450555901690025,3.4450555901690025,11.868408019354694
70,2.604039912,5.889903838761503,1,-3.285863926761503,3.285863926761503,10.796901745192525
71,2.464616886,4.921574423660873,1,-2.456957537660873,2.456957537660873,6.036640341868581
72,3.072085148,5.902252198319141,1,-2.830167050319141,2.830167050319141,8.009845532712148
73,3.472882969,5.280276413906678,1,-1.8073934449066775,1.8073934449066775,3.2666710646916273
74,5.834914611,4.196084539257665,1,1.6388300717423352,1.6388300717423352,2.6857640040469875
75,6.668254346,4.232490968139573,1,2.435763377860427,2.435763377860427,5.932943232926037
76,6.571227411,7.7279864604418025,1,-1.1567590494418027,1.1567590494418027,1.338091498465503
77,6.896551724,6.498766181938385,1,0.397785542061615,0.397785542061615,0.15823333747325286
78,6.364858808,6.556833825946814,1,-0.19197501794681404,0.19197501794681404,0.036854407515679574
79,4.867157848,8.53241976371017,1,-3.66526191571017,3.66526191571017,13.434144910755386
80,5.593481612,7.823511447311811,1,-2.230029835311811,2.230029835311811,4.973033066380823
81,5.075268817,8.342564087775017,1,-3.2672952707750165,3.2672952707750165,10.675218386428789
82,4.993678887,8.39662552730714,1,-3.4029466403071407,3.4029466403071407,11.580045836777657
83,6.344475197,8.16871096226654,1,-1.8242357652665389,1.8242357652665389,3.3278361272775947
84,7.278415016,6.518505109949841,1,0.7599099060501597,0.7599099060501597,0.5774630653131626
85,7.040523946,6.064566975048143,1,0.9759569709518576,0.9759569709518576,0.952492009149525
86,6.140878989,10.795550439875992,1,-4.654671450875992,4.654671450875992,21.665966315600013
