period,actual_inflation,predicted_inflation,forecast_horizon,error,absolute_error,squared_error
64,2.202072539,3.6627067439996432,1,-1.4606342049996432,1.4606342049996432,2.13345228081494
65,2.976341898,3.8252200053146455,1,-0.8488781073146456,0.8488781073146456,0.720594041078095
66,4.554707379,2.382506238454901,1,2.172201140545099,2.172201140545099,4.7184577949854285
67,4.594180704,4.506196734768874,1,0.08798396923112595,0.08798396923112595,0.0077411788416637175
68,4.790874525,4.072244475330576,1,0.7186300496694242,0.7186300496694242,0.5164291482878791
69,3.853754941,6.239737981084615,1,-2.385983040084615,2.385983040084615,5.692915067571422
70,2.604039912,6.096949604066085,1,-3.4929096920660845,3.4929096920660845,12.200418116929189
71,2.464616886,7.59415456982817,1,-5.12953768382817,5.12953768382817,26.312156849813267
72,3.072085148,7.107898652090393,1,-4.035813504090393,4.035813504090393,16.287790639798374
73,3.472882969,6.69015127023245,1,-3.21726830123245,3.21726830123245,10.350815322115134
74,5.834914611,3.9373175616004072,1,1.897597049399593,1.897597049399593,3.6008745618900417
75,6.668254346,6.74114765733502,1,-0.07289331133501964,0.07289331133501964,0.005313434837384103
76,6.571227411,5.6987845901653085,1,0.8724428208346913,0.8724428208346913,0.7611564756259932
77,6.896551724,4.630239117718148,1,2.2663126062818524,2.2663126062818524,5.136172829392042
78,6.364858808,4.137092239859244,1,2.2277665681407566,2.2277665681407566,4.962943882125645
79,4.867157848,4.842286489979757,1,0.024871358020242873,0.024871358020242873,0.0006185844497710995
80,5.593481612,4.150716026935284,1,1.4427655850647154,1.4427655850647154,2.0815725334471304
81,5.075268817,2.9239286284051063,1,2.151340188594894,2.151340188594894,4.628264607063515
82,4.993678887,4.7782277040331085,1,0.21545118296689125,0.21545118296689125,0.046419212241832854
83,6.344475197,3.040129655317715,1,3.3043455416822853,3.3043455416822853,10.918699458835595
84,7.278415016,2.4725878876292935,1,4.805827128370707,4.805827128370707,23.095974387783833
85,7.040523946,5.663533849322423,1,1.3769900966775772,1.3769900966775772,1.8961017263481235
86,6.140878989,6.804388963080772,1,-0.663509974080772,0.663509974080772,0.44024548570466665
87,6.206206206,4.808422182344523,1,1.3977840236554773,1.3977840236554773,1.9538001767864959
64,2.976341898,3.3326821035624463,2,-0.3563402055624465,0.3563402055624465,0.12697834210028663
65,4.554707379,3.6094194339447676,2,0.9452879450552323,0.9452879450552323,0.8935692990667439
66,4.594180704,1.742187856987775,2,2.8519928470122253,2.8519928470122253,8.133863199408898
67,4.790874525,5.131509570812813,2,-0.3406350458128129,0.3406350458128129,0.11603223443589714
68,3.853754941,4.555682129156169,2,-0.7019271881561693,0.7019271881561693,0.4927017774728263
69,2.604039912,5.043715058274536,2,-2.439675146274536,2.439675146274536,5.952014819349678
70,2.464616886,6.1470310348269335,2,-3.6824141488269335,3.6824141488269335,13.56017396348079
71,3.072085148,7.896628836224381,2,-4.824543688224381,4.824543688224381,23.276221799585713
72,3.472882969,6.905179012028276,2,-3.4322960430282756,3.4322960430282756,11.780656126987559
73,5.834914611,6.983781938679908,2,-1.1488673276799073,1.1488673276799073,1.3198961366103714
74,6.668254346,5.135916602444893,2,1.5323377435551073,1.5323377435551073,2.348058960323558
75,6.571227411,5.7951672804198555,2,0.7760601305801442,0.7760601305801442,0.6022693262760705
76,6.896551724,5.242659649933272,2,1.6538920740667278,1.6538920740667278,2.7353589926607427
77,6.364858808,4.288152494189525,2,2.076706313810475,2.076706313810475,4.312709113820292
78,4.867157848,3.375089647053442,2,1.4920682009465578,1.4920682009465578,2.2262675162758976
79,5.593481612,4.4723293337013335,2,1.1211522782986663,1.1211522782986663,1.25698243113429
80,5.075268817,4.22475461401712,2,0.8505142029828807,0.8505142029828807,0.7233744094756048
81,4.993678887,2.176485342786153,2,2.817193544213847,2.817193544213847,7.936579465560176
82,6.344475197,5.451013507404156,2,0.8934616895958447,0.8934616895958447,0.7982737907754616
83,7.278415016,3.9700621748600433,2,3.308352841139957,3.308352841139957,10.945198521478826
84,7.040523946,2.7145582225001856,2,4.325965723499815,4.325965723499815,18.713979440895276
85,6.140878989,5.4800538638269565,2,0.6608251251730435,0.6608251251730435,0.4366898460599686
86,6.206206206,6.018010833420753,2,0.1881953725792469,0.1881953725792469,0.035417498260241556
64,4.554707379,3.9470673224348647,3,0.6076400565651352,0.6076400565651352,0.3692264383424807
65,4.594180704,2.922709363974433,3,1.6714713400255672,1.6714713400255672,2.7938164405268653
66,4.790874525,2.3894721571263826,3,2.401402367873618,2.401402367873618,5.766733332429019
67,3.853754941,5.280003457227178,3,-1.4262485162271776,1.4262485162271776,2.0341848300402257
68,2.604039912,3.6498787436822897,3,-1.0458388316822895,1.0458388316822895,1.0937788618545763
69,2.464616886,4.821422289626454,3,-2.3568054036264536,2.3568054036264536,5.554531710562851
70,3.072085148,5.640957120660118,3,-2.5688719726601175,2.5688719726601175,6.599103211918683
71,3.472882969,7.516211152794963,3,-4.043328183794962,4.043328183794962,16.348502801870666
72,5.834914611,6.215930238026877,3,-0.3810156270268763,0.3810156270268763,0.1451729080386837
73,6.668254346,6.940795535996319,3,-0.2725411899963186,0.2725411899963186,0.07427870024460943
74,6.571227411,4.561850487649295,3,2.009376923350705,2.009376923350705,4.037595620094344
75,6.896551724,5.517727328663826,3,1.3788243953361743,1.3788243953361743,1.9011567131741667
76,6.364858808,5.31277563068321,3,1.0520831773167902,1.0520831773167902,1.1068790119929928
77,4.867157848,3.911530460704682,3,0.9556273872953178,0.9556273872953178,0.9132237033488754
78,5.593481612,3.3488343200520263,3,2.2446472919479734,2.2446472919479734,5.03844146524937
79,5.075268817,3.8520127872503744,3,1.223256029749626,1.223256029749626,1.496355314318818
80,4.993678887,3.4255460263564097,3,1.56813286064359,1.56813286064359,2.459040668630249
81,6.344475197,2.5348065227388794,3,3.809668674261121,3.809668674261121,14.513575407646487
82,7.278415016,6.079968130734941,3,1.1984468852650592,1.1984468852650592,1.436274936801522
83,7.040523946,4.814019301643812,3,2.2265046443561882,2.2265046443561882,4.957322931339676
84,6.140878989,2.950040069494925,3,3.190838919505075,3.190838919505075,10.181453010228315
85,6.206206206,5.447256393757907,3,0.7589498122420935,0.7589498122420935,0.5760048175023089
64,4.594180704,3.1156652511816088,4,1.4785154528183915,1.4785154528183915,2.1860079442227733
65,4.790874525,3.6795931555941666,4,1.1112813694058339,1.1112813694058339,1.2349462819885055
66,3.853754941,2.3602776340952207,4,1.4934773069047793,1.4934773069047793,2.2304744662395524
67,2.604039912,4.39802983607818,4,-1.79398992407818,1.79398992407818,3.2183998476940343
68,2.464616886,3.8639720512435884,4,-1.3993551652435885,1.3993551652435885,1.958194878493911
69,3.072085148,5.3528876117230295,4,-2.2808024637230293,2.2808024637230293,5.2020598785250405
70,3.472882969,4.710810881496791,4,-1.2379279124967906,1.2379279124967906,1.5324655165386616
71,5.834914611,7.025166511608619,4,-1.1902519006086187,1.1902519006086187,1.4166995869024293
72,6.668254346,6.675551344957626,4,-0.007296998957625256,0.007296998957625256,5.324619378758407e-05
73,6.571227411,5.700129790386896,4,0.8710976206131038,0.8710976206131038,0.7588110646378109
74,6.896551724,4.277232290904934,4,2.6193194330950664,2.6193194330950664,6.86083429258946
75,6.364858808,5.748362973004454,4,0.616495834995546,0.616495834995546,0.38006711456685555
76,4.867157848,4.056001780986362,4,0.8111560670136377,0.8111560670136377,0.6579741650530332
77,5.593481612,3.8998784170397287,4,1.693603194960271,1.693603194960271,2.8682917819796376
78,5.075268817,2.5444987185497654,4,2.530770098450235,2.530770098450235,6.404797291209812
79,4.993678887,3.1706074309210717,4,1.823071456078928,1.823071456078928,3.3235895339697428
80,6.344475197,3.738894405228208,4,2.6055807917717924,2.6055807917717924,6.78905126245012
81,7.278415016,2.777386679607191,4,4.501028336392809,4.501028336392809,20.25925608501102
82,7.040523946,6.93348350665704,4,0.1070404393429607,0.1070404393429607,0.011457655654734049
83,6.140878989,5.254939489012276,4,0.8859394999877237,0.8859394999877237,0.7848887976384978
84,6.206206206,2.2078603311426463,4,3.9983458748573537,3.9983458748573537,15.986769734988817
