period,actual_inflation,predicted_inflation,forecast_horizon,error,absolute_error,squared_error
64,2.202072539,-0.4271069057361704,1,2.6291794447361703,2.6291794447361703,6.912584552623197
65,2.976341898,-0.4237533447209827,1,3.4000952427209823,3.4000952427209823,11.560647659573856
66,4.554707379,-0.4268951649733119,1,4.981602543973311,4.981602543973311,24.816363906121367
67,4.594180704,-0.4235744434631097,1,5.0177551474631095,5.0177551474631095,25.17786671989253
68,4.790874525,-0.43015770770480655,1,5.221032232704807,5.221032232704807,27.259177574942537
69,3.853754941,-0.42913677373753556,1,4.282891714737536,4.282891714737536,18.34316144016743
70,2.604039912,-0.4272408495931589,1,3.031280761593159,3.031280761593159,9.188663055604803
71,2.464616886,-0.4298483349732034,1,2.8944652209732036,2.8944652209732036,8.377928915423457
72,3.072085148,-0.43404163853704414,1,3.5061267865370445,3.5061267865370445,12.292925043272582
73,3.472882969,-0.28577420681544285,1,3.758657175815443,3.758657175815443,14.127503765308923
74,5.834914611,-0.28194918579725825,1,6.116863796797259,6.116863796797259,37.416022708568974
75,6.668254346,-0.27264183582277135,1,6.9408961818227715,6.9408961818227715,48.17603980684193
76,6.571227411,-0.26725855959654765,1,6.8384859705965475,6.8384859705965475,46.764890370045805
77,6.896551724,-0.26298685540195665,1,7.159538579401957,7.159538579401957,51.258992669944995
78,6.364858808,-0.26362323302767754,1,6.628482041027677,6.628482041027677,43.93677416822644
79,4.867157848,-0.26261781257689343,1,5.129775660576893,5.129775660576893,26.3145983278471
80,5.593481612,-0.26161911383081526,1,5.855100725830815,5.855100725830815,34.28220450962454
81,5.075268817,-0.2655448618271409,1,5.340813678827141,5.340813678827141,28.5242907519471
82,4.993678887,-0.26243356005662355,1,5.256112447056624,5.256112447056624,27.626718056103567
83,6.344475197,-0.26360696169521913,1,6.608082158695219,6.608082158695219,43.666749816066066
84,7.278415016,-0.26266712267515313,1,7.541082138675153,7.541082138675153,56.867919822245426
85,7.040523946,-0.263161211146517,1,7.303685157146518,7.303685157146518,53.34381687472236
86,6.140878989,-0.2608894874652222,1,6.4017684764652225,6.4017684764652225,40.982639626263854
87,6.206206206,-0.2614336567650495,1,6.46763986276505,6.46763986276505,41.83036539442751
64,2.976341898,-0.42706013007057797,2,3.4034020280705777,3.4034020280705777,11.583145364674921
65,4.554707379,-0.4232030892780184,2,4.977910468278019,4.977910468278019,24.779592630191882
66,4.594180704,-0.4272550677488891,2,5.021435771748889,5.021435771748889,25.21481720979936
67,4.790874525,-0.42479030265768736,2,5.215664827657688,5.215664827657688,27.203159594465497
68,3.853754941,-0.42986161624885977,2,4.28361655724886,4.28361655724886,18.349370809536573
69,2.604039912,-0.42909058518758525,2,3.033130497187585,3.033130497187585,9.199880612969407
70,2.464616886,-0.4280398512664859,2,2.8926567372664858,2.8926567372664858,8.36746299965319
71,3.072085148,-0.4295904629760263,2,3.5016756109760268,3.5016756109760268,12.261732084504331
72,3.472882969,-0.4337737027763441,2,3.9066566717763442,3.9066566717763442,15.261966351134623
73,5.834914611,-0.28595952727612284,2,6.120874138276124,6.120874138276124,37.46510021661748
74,6.668254346,-0.28174720870930847,2,6.950001554709309,6.950001554709309,48.30252161046181
75,6.571227411,-0.27281024997097514,2,6.844037660970975,6.844037660970975,46.84085150478906
76,6.896551724,-0.2670610361518505,2,7.1636127601518504,7.1636127601518504,51.31734777741041
77,6.364858808,-0.2628454315226062,2,6.627704239522607,6.627704239522607,43.92646348658593
78,4.867157848,-0.26357450659326165,2,5.1307323545932615,5.1307323545932615,26.324414494470112
79,5.593481612,-0.26231748847420167,2,5.855799100474202,5.855799100474202,34.29038310511447
80,5.075268817,-0.26206580051035433,2,5.337334617510355,5.337334617510355,28.48714081927441
81,4.993678887,-0.26513970102563167,2,5.2588185880256315,5.2588185880256315,27.655172941763897
82,6.344475197,-0.26213244854930384,2,6.606607645549304,6.606607645549304,43.64726458223052
83,7.278415016,-0.2633269252645978,2,7.541741941264598,7.541741941264598,56.877871508629504
84,7.040523946,-0.26302443563505307,2,7.3035483816350535,7.3035483816350535,53.341818962884005
85,6.140878989,-0.26289276264946315,2,6.403771751649463,6.403771751649463,41.008292647223634
86,6.206206206,-0.26076765653084644,2,6.466973862530846,6.466973862530846,41.82175093865713
64,4.554707379,-0.42655976051877686,3,4.981267139518777,4.981267139518777,24.813022315249576
65,4.594180704,-0.4229440453481611,3,5.017124749348161,5.017124749348161,25.17154075052185
66,4.790874525,-0.4268793756754704,3,5.217753900675471,5.217753900675471,27.224955768014095
67,3.853754941,-0.4239913955231327,3,4.2777463365231325,4.2777463365231325,18.29911371963708
68,2.604039912,-0.43004917449639624,3,3.0340890864963965,3.0340890864963965,9.205696584796538
69,2.464616886,-0.42840642305369414,3,2.893023309053694,2.893023309053694,8.369583866727986
70,3.072085148,-0.42839404181440055,3,3.500479189814401,3.500479189814401,12.253354558323686
71,3.472882969,-0.4282415805474602,3,3.9011245495474602,3.9011245495474602,15.218772751081875
72,5.834914611,-0.4340639731257493,3,6.268978584125749,6.268978584125749,39.300092488227286
73,6.668254346,-0.2855852037239228,3,6.953839549723924,6.953839549723924,48.35588448330462
74,6.571227411,-0.2815659168718039,3,6.852793327871804,6.852793327871804,46.96077639452431
75,6.896551724,-0.27211063228706744,3,7.168662356287068,7.168662356287068,51.38971997844725
76,6.364858808,-0.26695158136665853,3,6.631810389366659,6.631810389366659,43.980909040511555
77,4.867157848,-0.26234095178770067,3,5.129498799787701,5.129498799787701,26.311757937023465
78,5.593481612,-0.2636130779196658,3,5.857094689919665,5.857094689919665,34.30555820668514
79,5.075268817,-0.2623678552548484,3,5.337636672254849,5.337636672254849,28.49036524499982
