Quarter,Linear Regression,Ridge Regression,Lasso Regression,Random Forest,XGBoost,Actual
2019-09-30,6.279545309522421,6.177563915166625,6.115178692196591,5.668494261794733,6.0742082595825195,6.668254346272917
2019-12-31,5.070812073354807,5.119947362922101,5.388566245445097,6.136298444377698,6.09099817276001,6.571227411405789
2020-03-31,6.515672268978276,6.3761522030455575,5.91677611642374,6.27938699096753,6.6338653564453125,6.896551724137923
2020-06-30,9.223581140821722,8.990118454246943,8.107825497258666,6.393890255085735,6.955700397491455,6.364858807709561
2020-09-30,7.661546754751934,7.567800610627557,7.047981608973741,6.185260675391256,5.957498550415039,4.867157847733883
2020-12-31,8.285924908956092,6.5619171074561455,5.001202828429284,4.6277418519513995,4.8141560554504395,5.593481611979745
2021-03-31,4.11586186231335,5.07968101533991,5.55300516122102,5.924187495314256,5.588653087615967,5.0752688172042815
2021-06-30,1.1152872940306486,3.578011892331433,4.30419449554004,4.447719424304244,5.2368035316467285,4.9936788874841875
2021-09-30,5.276497217109713,5.2888564095290285,5.387756426446095,4.6409259410216235,4.938638687133789,6.344475196934196
2021-12-31,6.68057568557607,6.537328922331611,6.257821270615108,6.3411833655308145,6.354167938232422,7.278415015641282
2022-03-31,7.876359030243029,7.896602322305634,7.939045476729836,6.621050955073889,6.614522457122803,7.040523945968102
2022-06-30,7.255518976662884,7.293170407229997,7.30692381318908,6.196284667965083,6.226735591888428,6.140878988561105
2022-09-30,6.313280745220874,6.335507081031792,6.126666643154068,6.333111950501814,6.542275428771973,6.206206206206222
