Quarter,Linear Regression,Ridge Regression,Lasso Regression,Random Forest,XGBoost,Actual
2019-09-30,5.77833744248652,5.569773652255073,5.54262317710864,5.442768251793596,5.213953495025635,6.668254346272917
2019-12-31,4.811773859504428,4.912413474907348,4.884362291156501,5.854081313104267,6.149318218231201,6.571227411405789
2020-03-31,5.692006501898631,5.316733703027511,5.186070559811043,5.827798400978834,6.035496711730957,6.896551724137923
2020-06-30,8.928819313528527,8.561644912887328,7.986820135412227,6.160026882578312,7.895995616912842,6.364858807709561
2020-09-30,6.705958700102479,7.261260404899142,6.986766173014515,6.030445529138495,6.3263983726501465,4.867157847733883
2020-12-31,10.098737919000218,7.473292274039483,5.289795872464419,5.4446441080669805,5.777438163757324,5.593481611979745
2021-03-31,5.994079577708222,6.071537454415348,5.871045306143153,5.860745000290883,5.717784404754639,5.0752688172042815
2021-06-30,2.514846070039848,4.395575065870024,4.7387734745781325,5.521616700294996,4.91126012802124,4.9936788874841875
2021-09-30,5.473693817735424,5.298613478889614,5.045725855097288,5.41291337696091,4.922767162322998,6.344475196934196
2021-12-31,6.707704081390841,6.457562477442789,6.00521172033217,6.125525094459215,6.352225303649902,7.278415015641282
2022-03-31,7.44349761277691,7.436488224410019,7.401185381634772,6.416177715016786,6.654699325561523,7.040523945968102
2022-06-30,6.739720778008237,6.862864864020135,7.023543549433472,6.276097016772659,6.528334140777588,6.140878988561105
2022-09-30,5.996092490243107,6.105129949789525,6.088245670223292,6.3337891300419225,6.4324517250061035,6.206206206206222
