Level1,Level2,MDRAE,RMSE,SMAPE,Theil's U
backward,ax,1.8585810234949842,1.8644537897922333,27.838225961078063,0.14568147320727354
backward,lasso,1.3761154761145167,1.096958411163123,15.494934913103881,0.08783806622898879
backward,rf,1.483896643339158,0.8428348342698958,12.035897800582083,0.0697736688039141
backward,ridge,1.7014126473422095,1.3441087965392284,17.42666501405222,0.10570428009364029
backward,xgb,1.0568595825053428,0.6935345956106154,10.041916438882444,0.05665486085347232
forward,ax,3.428729471633594,2.4763384807630238,22.813436580859054,0.18789518372256941
forward,lasso,1.8828063852362567,1.4257107511992724,20.908509383060682,0.1173374440944637
forward,rf,1.4685074902799646,0.9289306867196795,13.999471848146678,0.07748753997521625
forward,ridge,2.125360307002536,1.7085433855737762,22.324449186242834,0.13527165423914964
forward,xgb,1.9975691233200354,1.108502117339448,15.926235913491327,0.09194563840875912
hybrid,ax,2.4946824594049932,1.8445119867666449,23.91613889696373,0.14383624162513572
hybrid,lasso,1.525847646704349,1.214753848639644,17.09397639262313,0.09882972979478279
hybrid,rf,1.375088838712965,0.7889973484680238,11.295650099709684,0.06512652989700084
hybrid,ridge,1.7934930152150699,1.3686491258966862,19.16523750053188,0.10866598336921675
hybrid,xgb,1.146182240911318,0.9278132411757337,12.533679659529065,0.07528518276748908
level_0,ax,Value,Value,Value,Value
level_0,lasso,Value,Value,Value,Value
level_0,rf,Value,Value,Value,Value
level_0,ridge,Value,Value,Value,Value
level_0,xgb,Value,Value,Value,Value
