Level1,Level2,MDRAE,RMSE,SMAPE,Theil's U
backward,ax,1.5555570944724963,1.4648131385881624,25.625455574964796,0.13169650169868677
backward,lasso,1.3893004376021127,1.0924675107894346,17.69403116879201,0.09820853007007516
backward,rf,1.238198999245042,0.9154544730330483,16.201691570369224,0.0856082032970104
backward,ridge,1.4269940858549444,1.161192457652867,19.383229315476306,0.10423347158996349
backward,xgb,1.2388671098556197,1.0219988114361003,16.716489615035858,0.09444337659254375
forward,ax,1.7199883668777072,1.7493004457249377,25.86985436502146,0.16043646028626604
forward,lasso,1.6111958727174645,1.4091517686705188,22.59799332474538,0.13382454590511347
forward,rf,1.1586275130282397,0.9644317050523581,16.3063941775048,0.0911088029799097
forward,ridge,1.4705090303664679,1.448562847258183,23.183322904947044,0.13441702840318032
forward,xgb,1.2505980221764517,1.0499180753386783,16.187299031730028,0.09719720296918836
hybrid,ax,1.2685390153462515,1.4254440551908165,23.74968893408286,0.13145166708883435
hybrid,lasso,1.288345567029681,1.0359448659184334,16.01067078663439,0.0953484399560059
hybrid,rf,1.0043191371498388,0.8883796755977601,14.995951478909312,0.08323477373205265
hybrid,ridge,1.2590863035048938,1.1394990121248332,17.829415921448494,0.10502926273228654
hybrid,xgb,0.9953718832663935,0.870302454421864,13.823409660201111,0.08159768724572447
level_0,ax,Value,Value,Value,Value
level_0,lasso,Value,Value,Value,Value
level_0,rf,Value,Value,Value,Value
level_0,ridge,Value,Value,Value,Value
level_0,xgb,Value,Value,Value,Value
