,ax,ridge,lasso,rf,xgb
backward,"{'RMSE': 1.7666156479469046, 'SMAPE': 26.537101746731345, ""Theil's U"": 0.16643571386156708, 'MDRAE': 1.5389682590980251}","{'RMSE': 1.4587249870122454, 'SMAPE': 22.777949689912937, ""Theil's U"": 0.13834392149099542, 'MDRAE': 1.4632081689197052}","{'RMSE': 1.3409151463671132, 'SMAPE': 21.191379129063296, ""Theil's U"": 0.128612118659917, 'MDRAE': 1.2494947159157268}","{'RMSE': 1.051735032775155, 'SMAPE': 20.27785890117962, ""Theil's U"": 0.10134313307167656, 'MDRAE': 1.3954119532046165}","{'RMSE': 1.1391612956380859, 'SMAPE': 19.21094405269107, ""Theil's U"": 0.10899190935203235, 'MDRAE': 1.1879027177102794}"
forward,"{'RMSE': 1.8928996035847607, 'SMAPE': 28.69337399128471, ""Theil's U"": 0.17787555275421854, 'MDRAE': 1.638842908636111}","{'RMSE': 1.5947107902913722, 'SMAPE': 26.155816804004473, ""Theil's U"": 0.15241250746644353, 'MDRAE': 1.6927673766976234}","{'RMSE': 1.5387755576402369, 'SMAPE': 25.043152729028357, ""Theil's U"": 0.14872833963613327, 'MDRAE': 1.4746210574033134}","{'RMSE': 1.1475723261179953, 'SMAPE': 21.46518532588885, ""Theil's U"": 0.1115300881179081, 'MDRAE': 1.267655065540893}","{'RMSE': 1.1839811276276007, 'SMAPE': 21.692709185621865, ""Theil's U"": 0.11197898478345472, 'MDRAE': 1.7637388423907285}"
hybrid,"{'RMSE': 1.7804320592209137, 'SMAPE': 27.750094796867202, ""Theil's U"": 0.16673896442123876, 'MDRAE': 1.870517516124735}","{'RMSE': 1.4601867857977011, 'SMAPE': 24.350824137167095, ""Theil's U"": 0.13896153949505413, 'MDRAE': 1.4280928022663193}","{'RMSE': 1.3427542427758374, 'SMAPE': 22.442683961989488, ""Theil's U"": 0.12930962876765822, 'MDRAE': 1.4499885866325997}","{'RMSE': 1.0577002001552496, 'SMAPE': 19.679130195745106, ""Theil's U"": 0.10236715549650137, 'MDRAE': 1.2899956097811345}","{'RMSE': 1.1901024219094993, 'SMAPE': 19.04685026480997, ""Theil's U"": 0.11569240277305491, 'MDRAE': 1.0694040943640246}"
