Quarter,Linear Regression,Ridge Regression,Lasso Regression,Random Forest,XGBoost,Actual
2017-06-30,3.308434559140055,3.5189857400592968,3.685440186476474,4.022457330345756,3.8554887771606445,2.2020725388601115
2017-09-30,2.6699187601584975,2.619717335559962,2.668909963754037,3.6642957672768968,3.1930713653564453,2.9763418977359457
2017-12-31,2.972276352266246,3.003700464359704,2.998865761560995,4.05642839037164,4.480593204498291,4.554707379134859
2018-03-31,4.402083709882767,4.500553763310721,4.556938581708946,4.014198420022552,4.058802127838135,4.594180704441042
2018-06-30,5.642567188877324,5.453893985937799,4.9883764550816405,4.058610955336784,5.064029216766357,4.7908745247148055
2018-09-30,5.582587509868186,5.440080400576762,5.23565121258782,4.308642642275953,4.9838361740112305,3.8537549407114735
2018-12-31,4.447609814913931,4.693769801767654,4.5709660752577985,4.3186827570033826,5.136430740356445,2.604039912387446
2019-03-31,2.6774820291285617,2.784077088741078,2.8680047947701013,3.7491486000184473,3.5673646926879883,2.4646168862860085
2019-06-30,2.6082930389625623,2.6286133985256988,2.7814060145331596,3.740644433254913,3.3964662551879883,3.072085147556858
2019-09-30,3.7792876101624095,3.3049502541554534,3.2274878027611593,4.133353995184988,3.3014440536499023,3.4728829686013096
2019-12-31,2.6939584785888053,3.313777574181679,3.1268300280239063,3.566696938137899,3.1054489612579346,5.834914611005693
2020-03-31,5.132288472449031,5.026549985404097,4.597891887991809,4.058267977814479,3.4945180416107178,6.668254346272917
2020-06-30,4.5563870025009665,4.595200390165838,4.341186770522476,5.613135255353359,6.893002033233643,6.571227411405789
2020-09-30,2.8293923001937284,3.091084789117406,3.0942072897257247,5.899426466540947,5.017451286315918,6.896551724137923
2020-12-31,6.456020141738251,6.050144861977168,6.469965723284005,6.126735160139064,5.281014442443848,6.364858807709561
2021-03-31,7.321654445247519,7.25560179663786,7.319753485053244,5.875451383820409,6.031466484069824,4.867157847733883
2021-06-30,10.423515328651272,8.17458770027181,7.005568510151865,6.052479847539698,8.68584156036377,5.593481611979745
2021-09-30,7.307382642502227,6.859059004639968,6.575738549852888,6.068655297558117,5.683790683746338,5.0752688172042815
2021-12-31,7.014591049953956,6.820628400542847,6.483742617905813,6.084308408217549,6.210844993591309,4.9936788874841875
2022-03-31,5.448465256365931,5.432047066607802,5.561040425187345,5.471209019104292,6.1069135665893555,6.344475196934196
2022-06-30,6.131274489911314,6.24137881912977,6.088508218799047,5.706015432969915,6.298096656799316,7.278415015641282
2022-09-30,6.325408385625995,6.54809873482929,6.495918544403536,5.913994921315234,5.962963581085205,7.040523945968102
2022-12-31,5.898829979821923,6.181142440480936,6.227050984986961,6.286478691668461,6.650599479675293,6.140878988561105
2023-03-31,5.355308763105639,5.4757384788566625,5.875350365410785,6.429421251544377,5.873271465301514,6.206206206206222
