Quarter,Linear Regression,Ridge Regression,Lasso Regression,Random Forest,XGBoost,Actual
2017-06-30,3.2280706273151836,3.398509712051575,3.7070443412554472,4.034015336517919,4.233763217926025,2.2020725388601115
2017-09-30,2.689667914483879,2.4785934313577727,2.5813116000244176,3.7400642265169184,3.325932741165161,2.9763418977359457
2017-12-31,2.9897696441501105,2.9907816896174304,3.038995874160891,4.013743440137541,3.908198595046997,4.554707379134859
2018-03-31,4.440802829477957,4.632001253975955,4.628190679651347,4.03076900339021,4.0168046951293945,4.594180704441042
2018-06-30,5.750595186424691,5.576517499793248,5.076078319172926,4.010375565213098,4.816126823425293,4.7908745247148055
2018-09-30,5.606653537293231,5.480370177875608,5.273333745225565,4.3991519189711425,4.873715400695801,3.8537549407114735
2018-12-31,4.429008349326905,4.621451436478576,4.561433368805159,4.249657103634059,5.148497104644775,2.604039912387446
2019-03-31,2.631348128830127,2.609350818990577,2.854778272974704,3.7731754657580088,3.9064011573791504,2.4646168862860085
2019-06-30,2.5761788988454133,2.6445859453909906,2.73504507948801,3.611770542325256,3.1315767765045166,3.072085147556858
2019-09-30,3.8166889495394907,3.35330326107444,3.2394517219437473,4.083148996855686,3.524445056915283,3.4728829686013096
2019-12-31,2.685412163329481,3.32242658268259,3.1385209733045847,3.4703533587096427,3.0172815322875977,5.834914611005693
2020-03-31,5.272957688156602,5.478167868495274,5.4365315983969635,4.584841502869595,4.276705265045166,6.668254346272917
2020-06-30,5.37035884043429,5.314230132552592,5.289408226135342,5.950242167309074,5.741393089294434,6.571227411405789
2020-09-30,2.8544545428581167,3.4263087470249274,3.609763530277622,6.270559875522451,5.879385471343994,6.896551724137923
2020-12-31,7.737131035009719,7.3597743740689126,7.313945434157788,6.524846587995029,6.5355095863342285,6.364858807709561
2021-03-31,8.168601806798526,7.6123253737838255,7.215097008925983,5.917994259086498,6.270946025848389,4.867157847733883
2021-06-30,9.323670167063526,7.323712627786471,6.119036776032213,5.5971599550840985,7.652956485748291,5.593481611979745
2021-09-30,6.920669790544547,6.5223256243239165,6.002408088251296,5.847527559700127,5.484431743621826,5.0752688172042815
2021-12-31,6.126556640078839,5.930047400630256,5.764289032920079,5.630579332640013,5.258614540100098,4.9936788874841875
2022-03-31,4.889121647785306,4.854742610686236,4.97771969635619,5.071394421712161,4.945164203643799,6.344475196934196
2022-06-30,6.421606366270825,6.500924760865903,6.375944303908548,6.096653019261164,6.495458602905273,7.278415015641282
2022-09-30,6.584656420722955,6.766350400769111,6.830542651150555,6.333444519770605,6.620460033416748,7.040523945968102
2022-12-31,6.261999575291694,6.470736306246672,6.424664994907513,6.563673514360485,7.072023868560791,6.140878988561105
2023-03-31,5.401496135391103,5.403488834029183,5.859904292065507,6.393595980426762,6.162332057952881,6.206206206206222
