Quarter,Linear Regression,Ridge Regression,Lasso Regression,Random Forest,XGBoost,Actual
2016-12-31,4.040855792065232,3.951638679833888,3.8727375966707247,4.016488223218373,4.087652683258057,2.2020725388601115
2017-03-31,2.1738941257794564,2.1586008912651247,2.1676227653702647,3.633456462282488,2.8135876655578613,2.9763418977359457
2017-06-30,2.2159098921239355,2.610419106203152,3.3066379871151907,3.454368068260065,3.1168124675750732,4.554707379134859
2017-09-30,3.802511044824992,3.6582463853254272,4.141680849496948,4.13344260834861,4.105639457702637,4.594180704441042
2017-12-31,4.385268026692882,4.5052826893661315,4.530085646821351,3.8512463525562914,4.383328437805176,4.7908745247148055
2018-03-31,4.3329760924191465,4.341655972157803,4.470763309986616,3.8944555522161886,4.407158851623535,3.8537549407114735
2018-06-30,4.381166346584248,4.095515864326208,3.8522498400465226,4.162572041383804,4.424382209777832,2.604039912387446
2018-09-30,3.1938918092789135,3.1408915979566503,2.9498382849264657,3.8044842275277917,2.7909812927246094,2.4646168862860085
2018-12-31,2.473444539625867,2.733405887563502,2.909381938304751,3.9071164832083958,3.966553211212158,3.072085147556858
2019-03-31,3.2681164895930035,3.2770894180200956,3.308084568404062,3.7663434141925864,3.9488210678100586,3.4728829686013096
2019-06-30,3.5406972757394635,3.5372509967423604,3.786308581433144,3.747201364653073,3.8263871669769287,5.834914611005693
2019-09-30,5.77833744248652,5.569773652255073,5.54262317710864,5.433298958842776,5.5705766677856445,6.668254346272917
2019-12-31,4.811773859504428,4.912413474907348,4.884362291156501,5.722210847362751,6.404690265655518,6.571227411405789
2020-03-31,5.692006501898631,5.316733703027511,5.186070559811043,5.744383884672593,6.05742883682251,6.896551724137923
2020-06-30,8.928819313528527,8.561644912887328,7.986820135412227,6.2512840297519165,8.325929641723633,6.364858807709561
2020-09-30,6.705958700102479,7.261260404899142,6.986766173014515,5.910704547997835,6.408326625823975,4.867157847733883
2020-12-31,10.098737919000218,7.473292274039483,5.289795872464419,5.5162750176712745,5.869107723236084,5.593481611979745
2021-03-31,5.994079577708222,6.071537454415348,5.871045306143153,5.802405687545068,5.6541290283203125,5.0752688172042815
2021-06-30,2.514846070039848,4.395575065870024,4.7387734745781325,5.490586855411286,5.104176044464111,4.9936788874841875
2021-09-30,5.473693817735424,5.298613478889614,5.045725855097288,5.398140679203957,5.184139251708984,6.344475196934196
2021-12-31,6.707704081390841,6.457562477442789,6.00521172033217,6.158613709771447,6.648983478546143,7.278415015641282
2022-03-31,7.44349761277691,7.436488224410019,7.401185381634772,6.366573017647538,6.739556312561035,7.040523945968102
2022-06-30,6.739720778008237,6.862864864020135,7.023543549433472,6.338286026216756,6.6663289070129395,6.140878988561105
2022-09-30,5.996092490243107,6.105129949789525,6.088245670223292,6.408987350671172,6.582767963409424,6.206206206206222
