Quarter,Linear Regression,Ridge Regression,Lasso Regression,Random Forest,XGBoost,Actual
2016-12-31,3.568680534241174,3.6143625830027566,3.8259302493960554,4.28131636105321,4.19298791885376,2.2020725388601115
2017-03-31,1.4215376623642955,1.5035225943901445,1.8030277581533194,4.051338023341625,3.5932929515838623,2.9763418977359457
2017-06-30,3.346276939231558,3.5067858235024922,3.9947023551668273,4.043603712420143,3.7885608673095703,4.554707379134859
2017-09-30,4.672641820908718,4.565300808465406,4.670743156467038,4.399514734095461,4.3036932945251465,4.594180704441042
2017-12-31,5.029191391666918,5.177721897507147,5.108497122951579,4.1235385163538725,4.3232879638671875,4.7908745247148055
2018-03-31,4.837387369186611,4.855962998101992,5.022891206242786,4.0642580807849535,4.995797157287598,3.8537549407114735
2018-06-30,4.4593912421134885,4.293372159271968,4.258079178347773,4.5763684285681485,5.399493217468262,2.604039912387446
2018-09-30,2.818143405345267,2.998008950120774,3.1138303206218234,3.9452610933668653,2.9777376651763916,2.4646168862860085
2018-12-31,2.3642861575136305,2.4874906250806252,3.1248546327158957,4.14495627894945,4.078660011291504,3.072085147556858
2019-03-31,3.6457300181931935,3.6328722765601245,3.567778098687412,3.9080096291251714,4.452785968780518,3.4728829686013096
2019-06-30,3.839927032872571,3.8525947637075557,3.991107875809261,3.90587116792586,4.4554338455200195,5.834914611005693
2019-09-30,6.279545309522421,6.177563915166625,6.115178692196591,5.630613421172848,7.209305763244629,6.668254346272917
2019-12-31,5.070812073354807,5.119947362922101,5.388566245445097,5.951944249752092,6.667873859405518,6.571227411405789
2020-03-31,6.515672268978276,6.3761522030455575,5.91677611642374,6.344110681615328,5.961591720581055,6.896551724137923
2020-06-30,9.223581140821722,8.990118454246943,8.107825497258666,6.400981245438616,7.860655307769775,6.364858807709561
2020-09-30,7.661546754751934,7.567800610627557,7.047981608973741,6.016299208242949,5.44879674911499,4.867157847733883
2020-12-31,8.285924908956092,6.5619171074561455,5.001202828429284,4.629110731047716,5.262950897216797,5.593481611979745
2021-03-31,4.11586186231335,5.07968101533991,5.55300516122102,5.884491348172219,6.309228897094727,5.0752688172042815
2021-06-30,1.1152872940306486,3.578011892331433,4.30419449554004,4.7110873120778285,5.469987869262695,4.9936788874841875
2021-09-30,5.276497217109713,5.2888564095290285,5.387756426446095,4.437951959096995,4.983039379119873,6.344475196934196
2021-12-31,6.68057568557607,6.537328922331611,6.257821270615108,6.397183831367241,6.413877964019775,7.278415015641282
2022-03-31,7.876359030243029,7.896602322305634,7.939045476729836,6.631768399024039,7.070768356323242,7.040523945968102
2022-06-30,7.255518976662884,7.293170407229997,7.30692381318908,6.080377125399577,6.605433940887451,6.140878988561105
2022-09-30,6.313280745220874,6.335507081031792,6.126666643154068,6.458340512547245,6.493598937988281,6.206206206206222
