Quarter,Linear Regression,Ridge Regression,Lasso Regression,Random Forest,XGBoost,Actual
2020-03-31,5.132288472449031,5.026549985404097,4.597891887991809,4.1774223395426455,4.322067737579346,6.668254346272917
2020-06-30,4.5563870025009665,4.595200390165838,4.341186770522476,5.5267203936052915,5.345632553100586,6.571227411405789
2020-09-30,2.8293923001937284,3.091084789117406,3.0942072897257247,5.76781523294604,5.965611457824707,6.896551724137923
2020-12-31,6.456020141738251,6.050144861977168,6.469965723284005,6.068447750033131,6.190324306488037,6.364858807709561
2021-03-31,7.321654445247519,7.25560179663786,7.319753485053244,6.0302585792337275,6.306575775146484,4.867157847733883
2021-06-30,10.423515328651272,8.17458770027181,7.005568510151865,6.007395685128558,7.0383100509643555,5.593481611979745
2021-09-30,7.307382642502227,6.859059004639968,6.575738549852888,5.951900722602418,5.863512992858887,5.0752688172042815
2021-12-31,7.014591049953956,6.820628400542847,6.483742617905813,5.929081873870328,5.697553634643555,4.9936788874841875
2022-03-31,5.448465256365931,5.432047066607802,5.561040425187345,5.548219065458706,5.817682266235352,6.344475196934196
2022-06-30,6.131274489911314,6.24137881912977,6.088508218799047,5.742965896703196,6.013023376464844,7.278415015641282
2022-09-30,6.325408385625995,6.54809873482929,6.495918544403536,5.922271101915394,6.231376647949219,7.040523945968102
2022-12-31,5.898829979821923,6.181142440480936,6.227050984986961,6.027151395084563,6.683563232421875,6.140878988561105
2023-03-31,5.355308763105639,5.4757384788566625,5.875350365410785,6.259346623708247,6.276568412780762,6.206206206206222
