Level1,Level2,MDRAE,RMSE,SMAPE,Theil's U
backward,ax,2.044054525246512,2.0128002951931294,26.392182791265494,0.16030102254711523
backward,lasso,1.349647521055063,1.424836343179649,18.26982940396852,0.11653314804622836
backward,rf,1.4707700128231163,0.8530928514934244,12.139653143745937,0.07064689476010778
backward,ridge,1.7063513398107448,1.5900752377787175,21.025425391440596,0.12780680581758866
backward,xgb,1.088715867117655,0.7858561291705347,10.926225945825273,0.0645531740024428
forward,ax,3.656696834496766,2.2326568547140426,29.180416110322348,0.17714022789661843
forward,lasso,2.1167310251084936,1.7243148295500565,24.28073136045093,0.14167194809269135
forward,rf,1.228752810691774,1.1122606954444676,15.711681146272053,0.09275021638800086
forward,ridge,2.7560786186061343,1.8134663058349239,25.669605193493716,0.14728077574885445
forward,xgb,1.4379891890114629,1.1098479220126953,15.863667585262316,0.09083338954730108
hybrid,ax,3.0710180529093236,2.0538068427174525,27.58347311686115,0.1623163683532739
hybrid,lasso,1.6763616755344966,1.38767716284492,19.073996492460683,0.11355396838265118
hybrid,rf,1.3175093518474987,0.9216649319096263,12.40279064900695,0.0763733393379126
hybrid,ridge,2.1266990626410114,1.5976261533170293,22.79097039782643,0.1290280693434093
hybrid,xgb,1.142962388038576,0.9841620005942697,13.477613926334433,0.08081988757155027
level_0,ax,Value,Value,Value,Value
level_0,lasso,Value,Value,Value,Value
level_0,rf,Value,Value,Value,Value
level_0,ridge,Value,Value,Value,Value
level_0,xgb,Value,Value,Value,Value
