Quarter,Linear Regression,Ridge Regression,Lasso Regression,Random Forest,XGBoost,Actual
2020-03-31,5.066428621723883,5.745344026498348,5.975007079261927,5.759609518458323,5.896073341369629,6.668254346272917
2020-06-30,5.43444549359441,5.520709935049078,5.686447787776538,6.069726762317352,5.819010257720947,6.571227411405789
2020-09-30,2.3444009559378944,3.2424284078102192,3.121567922295677,6.133399422736489,6.313425540924072,6.896551724137923
2020-12-31,7.829160934845243,7.904574688378163,7.695037609888069,6.327342311363426,6.452470302581787,6.364858807709561
2021-03-31,8.499801246900272,7.7524883864942185,6.956863925569282,6.212441536459596,6.404426574707031,4.867157847733883
2021-06-30,8.150596976583078,6.6562444771048,5.327042772827624,4.5820007677525885,5.059450149536133,5.593481611979745
2021-09-30,5.936864576668396,5.845434726139489,5.498998235519637,5.930996481807215,5.595839023590088,5.0752688172042815
2021-12-31,5.109419448165842,5.157237661582111,5.199385917734673,4.810890194595687,4.789591312408447,4.9936788874841875
2022-03-31,4.309322717453368,4.410137261494672,4.5830109730406505,4.732399519655962,4.78969144821167,6.344475196934196
2022-06-30,6.952188623477152,6.93922200959087,6.742188255861831,6.198944423418361,6.405795574188232,7.278415015641282
2022-09-30,7.235253400474246,7.277159648334863,7.312284760921094,6.428968417296593,6.648429870605469,7.040523945968102
2022-12-31,7.10670472712169,7.124008955323518,6.967662994367952,6.37149124369334,6.579312801361084,6.140878988561105
2023-03-31,5.722800706728582,5.720451724503382,5.657286789812135,6.30739393520519,6.387294769287109,6.206206206206222
