Level1,Level2,MDRAE,RMSE,SMAPE,Theil's U
backward,ax,3.0284751974506467,1.5952093354200125,25.69653336583711,0.12686827490781535
backward,lasso,2.0689918978652186,1.0992070726524026,15.411991513515305,0.0874404877131673
backward,rf,1.1640632489282146,0.8039264291732032,11.724699541388869,0.06693913352472236
backward,ridge,1.780118887345262,1.1810939878893738,17.194009593047078,0.09375707612599686
backward,xgb,1.1821858469507818,0.815119320280267,11.685214052946796,0.06700010207117231
forward,ax,2.3255656696437406,2.0104344431041765,26.667054642087752,0.16032373340835818
forward,lasso,2.062526031695238,1.5491935657636378,22.617837208892233,0.12836064431779012
forward,rf,1.3368275116846076,0.9105892243147146,13.117051780478398,0.07629978281170974
forward,ridge,1.8764375746320718,1.5690622275215604,21.917559792485083,0.12679808113568208
forward,xgb,1.582365053890052,1.027700651300058,14.442204557338467,0.08455283569019184
hybrid,ax,2.357449173555752,1.6010973531859427,24.859042118595802,0.12991860901109634
hybrid,lasso,1.3919694840995471,1.0835077495934247,15.21351820259543,0.08780307306531439
hybrid,rf,0.9350171752959353,0.7656772885415148,10.333846328320002,0.06339969363356875
hybrid,ridge,1.4403518526636365,1.2119761062770575,17.42447630100147,0.0981063118759321
hybrid,xgb,1.040007010336187,0.8510392645325848,12.368228327614245,0.06961890850727145
level_0,ax,Value,Value,Value,Value
level_0,lasso,Value,Value,Value,Value
level_0,rf,Value,Value,Value,Value
level_0,ridge,Value,Value,Value,Value
level_0,xgb,Value,Value,Value,Value
