Quarter,Linear Regression,Ridge Regression,Lasso Regression,Random Forest,XGBoost,Actual
2017-03-31,4.709988086501753,4.986832489040789,5.054881346886682,4.098407999306358,3.790949821472168,2.2020725388601115
2017-06-30,1.5110951010339015,1.6896138765839979,1.428509286891029,3.452872406470102,2.4977333545684814,2.9763418977359457
2017-09-30,2.5967862747055923,2.167958729722386,2.210742458146308,3.46804370684027,3.2499616146087646,4.554707379134859
2017-12-31,3.63344531243163,3.4780791640537374,3.426033993217799,4.250353867963427,4.017177104949951,4.594180704441042
2018-03-31,3.605722414635983,3.623172334809227,3.7122452292292927,3.7868086923866304,4.117668628692627,4.7908745247148055
2018-06-30,4.317785062113694,4.162282805348488,4.127710576092124,3.8192841637661252,4.232850551605225,3.8537549407114735
2018-09-30,4.380576527653004,4.039351001543001,3.9205006970300946,4.144906920002558,4.2909088134765625,2.604039912387446
2018-12-31,3.1739020796549293,3.3782838130267585,3.265136889168674,3.3742621352651327,2.9950902462005615,2.4646168862860085
2019-03-31,2.3315443035327736,2.3826375658455237,2.671019035443253,3.9642507453419666,3.96108078956604,3.072085147556858
2019-06-30,3.22436740859818,3.215413577179904,3.167094747180393,3.9799174695636323,3.5394411087036133,3.4728829686013096
2019-09-30,3.6484765884125157,3.2887832484841493,3.1937171247198624,3.821717683757271,3.889230966567993,5.834914611005693
2019-12-31,5.509402043078522,5.617954708196322,5.387182968849174,4.850311259161989,4.161755084991455,6.668254346272917
2020-03-31,3.9015452874594567,4.170944871108401,4.0325647880861855,5.564471762084557,5.349670886993408,6.571227411405789
2020-06-30,5.073552327630121,4.746862344342214,4.800803528679609,5.180213505010281,4.890084743499756,6.896551724137923
2020-09-30,3.3278989639736,4.063046844970353,4.27191059238243,6.134867038725527,4.659933090209961,6.364858807709561
2020-12-31,10.879948823424206,8.837167355395625,7.229948385734476,5.528587202715123,5.5082831382751465,4.867157847733883
2021-03-31,10.96566219764897,8.452885139836702,7.072246642746284,6.164112054983956,7.214951515197754,5.593481611979745
2021-06-30,10.612114914394395,8.756319437652447,7.7285689166198,6.086906796665695,5.934916973114014,5.0752688172042815
2021-09-30,6.295933174580499,5.934750106298752,5.651720414747318,6.3280881870956955,6.1927289962768555,4.9936788874841875
2021-12-31,6.183633523568185,5.984647549568651,5.76915057936727,5.301847892012087,6.285615921020508,6.344475196934196
2022-03-31,6.225569015527188,6.109163615699009,5.94677923408806,5.948718327357987,5.8003458976745605,7.278415015641282
2022-06-30,6.294974687620895,6.461455130068908,6.4888079521812605,6.052811465644825,5.982999801635742,7.040523945968102
2022-09-30,6.2158468776987466,6.42628286217579,6.366608666957675,6.270916681222068,6.727926254272461,6.140878988561105
2022-12-31,5.442454524441124,5.701407325009782,5.605172062951811,6.354337709753346,6.468070983886719,6.206206206206222
