,ax,ridge,lasso,rf,xgb
backward,"{'RMSE': 1.8729219840563924, 'SMAPE': 24.508851778309126, ""Theil's U"": 0.16993354207265995, 'MDRAE': 1.1026701534720837}","{'RMSE': 1.5101954408774372, 'SMAPE': 24.177535863392553, ""Theil's U"": 0.1391791050152351, 'MDRAE': 1.309356898518373}","{'RMSE': 1.182942434608997, 'SMAPE': 20.14320320327497, ""Theil's U"": 0.11133599927851869, 'MDRAE': 1.355042943543423}","{'RMSE': 1.0391567432324043, 'SMAPE': 20.200634236998926, ""Theil's U"": 0.09992954715219245, 'MDRAE': 1.5328755480273812}","{'RMSE': 1.113600538067083, 'SMAPE': 19.276974027528112, ""Theil's U"": 0.10657618091152134, 'MDRAE': 1.1400385643479996}"
forward,"{'RMSE': 2.4539512722759094, 'SMAPE': 35.59401354873544, ""Theil's U"": 0.22309726224791376, 'MDRAE': 3.133994308283454}","{'RMSE': 1.8825511166718285, 'SMAPE': 32.78663268777022, ""Theil's U"": 0.178828941534609, 'MDRAE': 2.434176350943873}","{'RMSE': 1.6222110604175142, 'SMAPE': 30.90261865491324, ""Theil's U"": 0.1587616947953443, 'MDRAE': 1.9990880345468185}","{'RMSE': 1.1028984527378087, 'SMAPE': 20.567456929171527, ""Theil's U"": 0.10727084601643401, 'MDRAE': 1.4237498623027778}","{'RMSE': 1.237221663581631, 'SMAPE': 22.371415630246307, ""Theil's U"": 0.12084515959753094, 'MDRAE': 1.6588709591437425}"
hybrid,"{'RMSE': 2.031311496548635, 'SMAPE': 29.930987166447277, ""Theil's U"": 0.1869519229951703, 'MDRAE': 1.7468236179665884}","{'RMSE': 1.577328920682972, 'SMAPE': 27.273731594588153, ""Theil's U"": 0.14903044966795564, 'MDRAE': 1.4230726326922492}","{'RMSE': 1.2773391850739222, 'SMAPE': 22.70034538833827, ""Theil's U"": 0.12473250802581619, 'MDRAE': 1.133246635284906}","{'RMSE': 1.0176590358703137, 'SMAPE': 18.995609919700485, ""Theil's U"": 0.09886087767165076, 'MDRAE': 1.2149728614834863}","{'RMSE': 1.03395036930628, 'SMAPE': 19.08528948034417, ""Theil's U"": 0.0998139796574549, 'MDRAE': 1.1269749316824964}"
